epoch	train_loss	train_binacc	train_acc	train_tp	train_fp	train_tn	train_fn	train_sens	train_spec	train_balacc	val_loss	val_binacc	val_acc	val_tp	val_fp	val_tn	val_fn	val_sens	val_spec	val_balacc
1	0.1614050567150116	0.8613384366035461	0.3878074586391449	9331807.0	56410424.0	349002112.0	1275512.0	0.879751707288147	0.8608567348297291	0.870304221058938	0.12595707178115845	0.9036651253700256	0.5062656402587891	765418.0	2917506.0	27400676.0	85136.0	0.8999052382329634	0.9037704173686931	0.9018378278008283
2	0.12263508886098862	0.8991281986236572	0.5262743234634399	9709639.0	41067176.0	364345504.0	897680.0	0.9153716410338937	0.8987027835439187	0.9070372122889062	0.10811168700456619	0.9244982600212097	0.6053784489631653	772457.0	2275198.0	28042984.0	78097.0	0.9081810208405345	0.9249559884560361	0.9165685046482853
3	0.11046720296144485	0.9112385511398315	0.5805925726890564	9787387.0	36106696.0	369306112.0	819932.0	0.9227012970949586	0.9109384427736186	0.9168198699342887	0.10065039247274399	0.9272406101226807	0.6421443223953247	782079.0	2199347.0	28118848.0	68475.0	0.9194936476696365	0.9274578516300195	0.923475749649828
4	0.10312839597463608	0.9175302982330322	0.6108372807502747	9849844.0	33551796.0	371860608.0	757475.0	0.9285894013369448	0.9172403318967024	0.9229148666168236	0.09535574167966843	0.9352008700370789	0.6730937361717224	781823.0	1950974.0	28367208.0	68731.0	0.9191926673673865	0.9356500333694151	0.9274213503684008
5	0.0982327088713646	0.9218277335166931	0.6311240792274475	9887759.0	31801528.0	373611040.0	719560.0	0.9321638200944083	0.9215576168324412	0.9268607184634248	0.09369707107543945	0.9413207173347473	0.6811413168907166	778130.0	1756538.0	28561650.0	72424.0	0.9148507913665681	0.9420632262059988	0.9284570087862835
6	0.09490422904491425	0.9248867630958557	0.6453018188476562	9910295.0	30551488.0	374861312.0	697024.0	0.9342883908742633	0.9246410374808097	0.9294647141775365	0.09702503681182861	0.9496361017227173	0.6915138959884644	766703.0	1485922.0	28832268.0	83851.0	0.9014160182657421	0.9509890926866017	0.9262025554761719
7	0.09165739268064499	0.9275664687156677	0.6567595601081848	9935859.0	29462488.0	375950112.0	671460.0	0.9366984249271658	0.9273271526341312	0.9320127887806485	0.09221383929252625	0.9468287825584412	0.6979722380638123	776092.0	1582819.0	28735368.0	74462.0	0.9124547059916243	0.9477930853846901	0.9301238956881572
8	0.08988379687070847	0.9290457367897034	0.66371089220047	9949269.0	28860326.0	376552000.0	658050.0	0.9379626463576706	0.9288124110957593	0.9333875287267149	0.09159219264984131	0.9504543542861938	0.7084818482398987	774024.0	1467747.0	28850448.0	76530.0	0.9100233494875105	0.951588575771084	0.9308059626292973
9	0.08716274797916412	0.9312789440155029	0.6733353734016418	9971375.0	27953552.0	377458976.0	635944.0	0.940046679090164	0.9310491164693362	0.9355478977797501	0.09053418040275574	0.9474431276321411	0.7088106274604797	777336.0	1564918.0	28753272.0	73218.0	0.9139172821478707	0.9483835281723613	0.931150405160116
10	0.0856824666261673	0.9324789643287659	0.679561197757721	9980483.0	27463184.0	377949184.0	626836.0	0.9409053314979968	0.9322586428838303	0.9365819871909136	0.08836302161216736	0.9477410316467285	0.7125604152679443	781063.0	1559354.0	28758832.0	69491.0	0.9182991320950815	0.9485670415769598	0.9334330868360207
